tm_inchikey	rxsmiles	route_index
VZIQOCKMOWWQJJ-UHFFFAOYSA-N	C[O:2][C:3](=O)[CH2:4][C:5]([CH3:13])([C:7]1[O:8][C:9]([CH3:12])=[CH:10][CH:11]=1)[CH3:6]>O1CCCC1.[Al+3].[Li+].[H-].[H-].[H-].[H-]>[CH3:13][C:5]([C:7]1[O:8][C:9]([CH3:12])=[CH:10][CH:11]=1)([CH3:6])[CH2:4][CH2:3][OH:2] |f:2.3.4.5.6.7|	1
VZIQOCKMOWWQJJ-UHFFFAOYSA-N	[CH3:11][C:12]([C:17]1[O:18][C:19]([CH3:22])=[CH:20][CH:21]=1)([CH3:16])[CH2:13][CH2:14][OH:15]>C(N(CC)CC)C.C(Cl)(=O)C(Cl)=O.CS(C)=O.ClCCl.O>[CH3:16][C:12]([C:17]1[O:18][C:19]([CH3:22])=[CH:20][CH:21]=1)([CH3:11])[CH2:13][CH:14]=[O:15]	1
VZIQOCKMOWWQJJ-UHFFFAOYSA-N	[Cl:1][C:2]1[CH:7]=[CH:6][C:5]([CH2:8][C:9]#[N:10])=[C:4]([F:11])[CH:3]=1.[Cl:12][C:13]1[C:14]([F:21])=[C:15]([CH:18]=[CH:19][CH:20]=1)[CH:16]=O>[Na+].[OH-].CO>[Cl:12][C:13]1[C:14]([F:21])=[C:15](/[CH:16]=[C:8](/[C:5]2[CH:6]=[CH:7][C:2]([Cl:1])=[CH:3][C:4]=2[F:11])\[C:9]#[N:10])[CH:18]=[CH:19][CH:20]=1 |f:2.3|	1
VZIQOCKMOWWQJJ-UHFFFAOYSA-N	[CH3:1][O:2][C:3](=[O:18])[CH:4]([C:9]([CH3:17])([C:11]1[O:12][C:13]([CH3:16])=[CH:14][CH:15]=1)[CH3:10])C(OC)=O>CS(C)=O.[Li+].[Cl-].O>[CH3:1][O:2][C:3](=[O:18])[CH2:4][C:9]([CH3:10])([C:11]1[O:12][C:13]([CH3:16])=[CH:14][CH:15]=1)[CH3:17] |f:2.3|	1
VZIQOCKMOWWQJJ-UHFFFAOYSA-N	[CH3:10][C:11]([C:16]1[O:17][C:18]([CH3:21])=[CH:19][CH:20]=1)([CH3:15])[CH2:12][CH:13]=O.[C:1]([O:5][C:6](=[O:9])[CH2:7][NH2:8])([CH3:4])([CH3:3])[CH3:2]>C(Cl)Cl>[C:1]([O:5][C:6](=[O:9])[CH2:7]/[N:8]=[CH:13]/[CH2:12][C:11]([CH3:15])([C:16]1[O:17][C:18]([CH3:21])=[CH:19][CH:20]=1)[CH3:10])([CH3:4])([CH3:3])[CH3:2]	1
VZIQOCKMOWWQJJ-UHFFFAOYSA-N	[C:1]([O:5][C:6](=[O:20])[CH2:7]/[N:8]=[CH:9]/[CH2:10][C:11]([CH3:19])([C:13]1[O:14][C:15]([CH3:18])=[CH:16][CH:17]=1)[CH3:12])([CH3:4])([CH3:3])[CH3:2].[Cl:21][C:22]1[C:23]([F:40])=[C:24](/[CH:28]=[C:29](/[C:32]2[CH:37]=[CH:36][C:35]([Cl:38])=[CH:34][C:33]=2[F:39])\[C:30]#[N:31])[CH:25]=[CH:26][CH:27]=1>C1CCN2C(=NCCC2)CC1.C(N(CC)CC)C.C(O)(C)(C)C.ClCCl>[C:1]([O:5][C:6]([CH:7]1[CH:28]([C:24]2[CH:25]=[CH:26][CH:27]=[C:22]([Cl:21])[C:23]=2[F:40])[C:29]([C:32]2[CH:37]=[CH:36][C:35]([Cl:38])=[CH:34][C:33]=2[F:39])([C:30]#[N:31])[CH:9]([CH2:10][C:11]([CH3:12])([C:13]2[O:14][C:15]([CH3:18])=[CH:16][CH:17]=2)[CH3:19])[NH:8]1)=[O:20])([CH3:4])([CH3:2])[CH3:3]	1
VZIQOCKMOWWQJJ-UHFFFAOYSA-N	C[O:2][C:3](=O)[CH2:4][C:5]([CH3:13])([C:7]1[O:8][C:9]([CH3:12])=[CH:10][CH:11]=1)[CH3:6]>O1CCCC1.[Al+3].[Li+].[H-].[H-].[H-].[H-]>[CH3:13][C:5]([C:7]1[O:8][C:9]([CH3:12])=[CH:10][CH:11]=1)([CH3:6])[CH2:4][CH2:3][OH:2] |f:2.3.4.5.6.7|	2
VZIQOCKMOWWQJJ-UHFFFAOYSA-N	[CH3:11][C:12]([C:17]1[O:18][C:19]([CH3:22])=[CH:20][CH:21]=1)([CH3:16])[CH2:13][CH2:14][OH:15]>C(N(CC)CC)C.C(Cl)(=O)C(Cl)=O.CS(C)=O.ClCCl.O>[CH3:16][C:12]([C:17]1[O:18][C:19]([CH3:22])=[CH:20][CH:21]=1)([CH3:11])[CH2:13][CH:14]=[O:15]	2
VZIQOCKMOWWQJJ-UHFFFAOYSA-N	[CH3:1][O:2][C:3](=[O:18])[CH:4]([C:9]([CH3:17])([C:11]1[O:12][C:13]([CH3:16])=[CH:14][CH:15]=1)[CH3:10])C(OC)=O>CS(C)=O.[Li+].[Cl-].O>[CH3:1][O:2][C:3](=[O:18])[CH2:4][C:9]([CH3:10])([C:11]1[O:12][C:13]([CH3:16])=[CH:14][CH:15]=1)[CH3:17] |f:2.3|	2
VZIQOCKMOWWQJJ-UHFFFAOYSA-N	[CH3:10][C:11]([C:16]1[O:17][C:18]([CH3:21])=[CH:19][CH:20]=1)([CH3:15])[CH2:12][CH:13]=O.[C:1]([O:5][C:6](=[O:9])[CH2:7][NH2:8])([CH3:4])([CH3:3])[CH3:2]>C(Cl)Cl>[C:1]([O:5][C:6](=[O:9])[CH2:7]/[N:8]=[CH:13]/[CH2:12][C:11]([CH3:15])([C:16]1[O:17][C:18]([CH3:21])=[CH:19][CH:20]=1)[CH3:10])([CH3:4])([CH3:3])[CH3:2]	2
VZIQOCKMOWWQJJ-UHFFFAOYSA-N	[Cl:1][C:2]1[CH:7]=[CH:6][C:5]([CH2:8][C:9]#[N:10])=[C:4]([F:11])[CH:3]=1.[Cl:12][C:13]1[C:14]([F:21])=[C:15]([CH:18]=[CH:19][CH:20]=1)[CH:16]=O>[Na+].C[O-].CO>[Cl:12][C:13]1[C:14]([F:21])=[C:15](/[CH:16]=[C:8](/[C:5]2[CH:6]=[CH:7][C:2]([Cl:1])=[CH:3][C:4]=2[F:11])\[C:9]#[N:10])[CH:18]=[CH:19][CH:20]=1 |f:2.3|	2
VZIQOCKMOWWQJJ-UHFFFAOYSA-N	[C:1]([O:5][C:6](=[O:20])[CH2:7]/[N:8]=[CH:9]/[CH2:10][C:11]([CH3:19])([C:13]1[O:14][C:15]([CH3:18])=[CH:16][CH:17]=1)[CH3:12])([CH3:4])([CH3:3])[CH3:2].[Cl:21][C:22]1[C:23]([F:40])=[C:24](/[CH:28]=[C:29](/[C:32]2[CH:37]=[CH:36][C:35]([Cl:38])=[CH:34][C:33]=2[F:39])\[C:30]#[N:31])[CH:25]=[CH:26][CH:27]=1>C1CCN2C(=NCCC2)CC1.C(N(CC)CC)C.C(O)(C)(C)C.ClCCl>[C:1]([O:5][C:6]([CH:7]1[CH:28]([C:24]2[CH:25]=[CH:26][CH:27]=[C:22]([Cl:21])[C:23]=2[F:40])[C:29]([C:32]2[CH:37]=[CH:36][C:35]([Cl:38])=[CH:34][C:33]=2[F:39])([C:30]#[N:31])[CH:9]([CH2:10][C:11]([CH3:12])([C:13]2[O:14][C:15]([CH3:18])=[CH:16][CH:17]=2)[CH3:19])[NH:8]1)=[O:20])([CH3:4])([CH3:2])[CH3:3]	2
