tm_inchikey	rxsmiles	route_index
DBQFEMRSLALWEZ-UHFFFAOYSA-N	Cl[C:2]1[N:7]=[C:6]([NH:8][C:9]([C:11]2([C:14]3[CH:24]=[CH:23][C:17]4[O:18][C:19]([F:22])([F:21])[O:20][C:16]=4[CH:15]=3)[CH2:13][CH2:12]2)=[O:10])[CH:5]=[C:4]([CH3:25])[C:3]=1[CH3:26].[CH3:27][O:28][C:29]1[CH:34]=[C:33](B(O)O)[CH:32]=[CH:31][N:30]=1>C1C=CC([P]([Pd]([P](C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)([P](C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)[P](C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)=CC=1.[Na+].[Na+].C([O-])([O-])=O.COCCOC>[F:21][C:19]1([F:22])[O:18][C:17]2[CH:23]=[CH:24][C:14]([C:11]3([C:9]([NH:8][C:6]4[N:7]=[C:2]([C:33]5[CH:32]=[CH:31][N:30]=[C:29]([O:28][CH3:27])[CH:34]=5)[C:3]([CH3:26])=[C:4]([CH3:25])[CH:5]=4)=[O:10])[CH2:13][CH2:12]3)=[CH:15][C:16]=2[O:20]1 |f:3.4.5|	1
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[F:1][C:2]1([F:17])[O:6][C:5]2[CH:7]=[CH:8][C:9]([C:11]3([C:14](Cl)=[O:15])[CH2:13][CH2:12]3)=[CH:10][C:4]=2[O:3]1.[Cl:18][C:19]1[N:24]=[C:23]([NH2:25])[CH:22]=[C:21]([CH3:26])[C:20]=1[CH3:27]>CCN(CC)CC.ClCCl>[Cl:18][C:19]1[N:24]=[C:23]([NH:25][C:14]([C:11]2([C:9]3[CH:8]=[CH:7][C:5]4[O:6][C:2]([F:17])([F:1])[O:3][C:4]=4[CH:10]=3)[CH2:13][CH2:12]2)=[O:15])[CH:22]=[C:21]([CH3:26])[C:20]=1[CH3:27]	1
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[F:1][C:2]1([F:17])[O:6][C:5]2[CH:7]=[CH:8][C:9]([C:11]3([C:14](O)=[O:15])[CH2:13][CH2:12]3)=[CH:10][C:4]=2[O:3]1.S(Cl)([Cl:20])=O>CN(C)C=O>[F:1][C:2]1([F:17])[O:6][C:5]2[CH:7]=[CH:8][C:9]([C:11]3([C:14]([Cl:20])=[O:15])[CH2:13][CH2:12]3)=[CH:10][C:4]=2[O:3]1	1
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[Cl:1][C:2]1[N:7]=[C:6]([N:8]2C(=O)C3C(=CC=CC=3)C2=O)[CH:5]=[C:4]([CH3:19])[C:3]=1[CH3:20]>CO.N.O>[Cl:1][C:2]1[N:7]=[C:6]([NH2:8])[CH:5]=[C:4]([CH3:19])[C:3]=1[CH3:20]	1
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[O:1]=[C:2]1[C:10]2[C:5](=[CH:6][CH:7]=[CH:8][CH:9]=2)[C:4](=[O:11])[N:3]1[C:12]1[CH:17]=[C:16]([CH3:18])[C:15]([CH3:19])=[CH:14][N+:13]=1[O-].O=P(Cl)(Cl)[Cl:35]>CCN(CC)CC.[Na+].C([O-])(O)=O>[Cl:35][C:14]1[N:13]=[C:12]([N:3]2[C:2](=[O:1])[C:10]3[C:5](=[CH:6][CH:7]=[CH:8][CH:9]=3)[C:4]2=[O:11])[CH:17]=[C:16]([CH3:18])[C:15]=1[CH3:19] |f:3.4|	1
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[CH3:1][C:2]1[C:7]([CH3:8])=[CH:6][N:5]=[C:4]([N:9]2[C:17](=[O:18])[C:16]3[C:11](=[CH:12][CH:13]=[CH:14][CH:15]=3)[C:10]2=[O:19])[CH:3]=1.C1C=C(Cl)C=C(C(OO)=[O:28])C=1>C(Cl)Cl>[O:18]=[C:17]1[C:16]2[C:11](=[CH:12][CH:13]=[CH:14][CH:15]=2)[C:10](=[O:19])[N:9]1[C:4]1[CH:3]=[C:2]([CH3:1])[C:7]([CH3:8])=[CH:6][N+:5]=1[O-:28]	1
DBQFEMRSLALWEZ-UHFFFAOYSA-N	Cl[C:2]1[N:7]=[C:6]([NH:8][C:9]([C:11]2([C:14]3[CH:24]=[CH:23][C:17]4[O:18][C:19]([F:22])([F:21])[O:20][C:16]=4[CH:15]=3)[CH2:13][CH2:12]2)=[O:10])[CH:5]=[C:4]([CH3:25])[C:3]=1[CH3:26].[CH3:27][O:28][C:29]1[CH:34]=[C:33](B(O)O)[CH:32]=[CH:31][N:30]=1>C1C=CC([P]([Pd]([P](C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)([P](C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)[P](C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)(C2C=CC=CC=2)C2C=CC=CC=2)=CC=1.[Na+].[Na+].C([O-])([O-])=O.COCCOC>[F:21][C:19]1([F:22])[O:18][C:17]2[CH:23]=[CH:24][C:14]([C:11]3([C:9]([NH:8][C:6]4[N:7]=[C:2]([C:33]5[CH:32]=[CH:31][N:30]=[C:29]([O:28][CH3:27])[CH:34]=5)[C:3]([CH3:26])=[C:4]([CH3:25])[CH:5]=4)=[O:10])[CH2:13][CH2:12]3)=[CH:15][C:16]=2[O:20]1 |f:3.4.5|	2
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[F:1][C:2]1([F:17])[O:6][C:5]2[CH:7]=[CH:8][C:9]([C:11]3([C:14](Cl)=[O:15])[CH2:13][CH2:12]3)=[CH:10][C:4]=2[O:3]1.[Cl:18][C:19]1[N:24]=[C:23]([NH2:25])[CH:22]=[C:21]([CH3:26])[C:20]=1[CH3:27]>CCN(CC)CC.ClCCl>[Cl:18][C:19]1[N:24]=[C:23]([NH:25][C:14]([C:11]2([C:9]3[CH:8]=[CH:7][C:5]4[O:6][C:2]([F:17])([F:1])[O:3][C:4]=4[CH:10]=3)[CH2:13][CH2:12]2)=[O:15])[CH:22]=[C:21]([CH3:26])[C:20]=1[CH3:27]	2
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[F:1][C:2]1([F:17])[O:6][C:5]2[CH:7]=[CH:8][C:9]([C:11]3([C:14](O)=[O:15])[CH2:13][CH2:12]3)=[CH:10][C:4]=2[O:3]1.O=S(Cl)[Cl:20]>C1(C)C=CC=CC=1>[F:1][C:2]1([F:17])[O:6][C:5]2[CH:7]=[CH:8][C:9]([C:11]3([C:14]([Cl:20])=[O:15])[CH2:13][CH2:12]3)=[CH:10][C:4]=2[O:3]1	2
DBQFEMRSLALWEZ-UHFFFAOYSA-N	[Cl:1][C:2]1[N:7]=[C:6]([N:8]2C(=O)C3C(=CC=CC=3)C2=O)[CH:5]=[C:4]([CH3:19])[C:3]=1[CH3:20]>CO.N.O>[Cl:1][C:2]1[N:7]=[C:6]([NH2:8])[CH:5]=[C:4]([CH3:19])[C:3]=1[CH3:20]	2
