tm_inchikey	rxsmiles	route_index
YWPHDFINYPQZQN-UHFFFAOYSA-N	[NH2:50][CH2:51][C:52]1([OH:67])[CH2:57][CH2:56][N:55]([C:58]([C:60]2[CH:65]=[CH:64][C:63]([F:66])=[CH:62][CH:61]=2)=[O:59])[CH2:54][CH2:53]1.[NH2:1][N:2]1[C:6]([C:7]([OH:9])=O)=[CH:5][N:4]=[C:3]1[C:10]1[CH:15]=[CH:14][C:13]([F:16])=[CH:12][CH:11]=1>CN(C(ON1N=NC2C=CC=NC1=2)=[N+](C)C)C.F[P-](F)(F)(F)(F)F.CCN(C(C)C)C(C)C.CN(C=O)C.O>[NH2:1][N:2]1[C:6]([C:7]([NH:50][CH2:51][C:52]2([OH:67])[CH2:57][CH2:56][N:55]([C:58](=[O:59])[C:60]3[CH:65]=[CH:64][C:63]([F:66])=[CH:62][CH:61]=3)[CH2:54][CH2:53]2)=[O:9])=[CH:5][N:4]=[C:3]1[C:10]1[CH:15]=[CH:14][C:13]([F:16])=[CH:12][CH:11]=1 |f:2.3|	1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[F:9][C:10]1[CH:24]=[CH:23][C:13]([C:14]([N:16]2[CH2:21][CH2:20][C:19](=[O:22])[CH2:18][CH2:17]2)=[O:15])=[CH:12][CH:11]=1.[CH3:2][S+](C)(C)=O.[I-]>CS(C)=O.[Na+].[H-]>[F:9][C:10]1[CH:24]=[CH:23][C:13]([C:14]([N:16]2[CH2:17][CH2:18][C:19]3([O:22][CH2:2]3)[CH2:20][CH2:21]2)=[O:15])=[CH:12][CH:11]=1 |f:1.2,4.5|	1
YWPHDFINYPQZQN-UHFFFAOYSA-N	FC(F)(F)C(O)=O.[NH:8]1[CH2:13][CH2:12][C:11](=[O:14])[CH2:10][CH2:9]1.[F:15][C:16]1[CH:24]=[CH:23][C:19]([C:20](O)=[O:21])=[CH:18][CH:17]=1>>[F:15][C:16]1[CH:24]=[CH:23][C:19]([C:20]([N:8]2[CH2:13][CH2:12][C:11](=[O:14])[CH2:10][CH2:9]2)=[O:21])=[CH:18][CH:17]=1 |f:0.1|	1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[O:1]=[C:2]1[CH2:7][CH2:6][N:5](C(OC(C)(C)C)=O)[CH2:4][CH2:3]1.[F:15][C:16]([F:21])([F:20])[C:17]([OH:19])=[O:18]>ClCCl>[F:15][C:16]([F:21])([F:20])[C:17]([OH:19])=[O:18].[NH:5]1[CH2:6][CH2:7][C:2](=[O:1])[CH2:3][CH2:4]1 |f:3.4|	1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]([N:10]2[CH2:17][CH2:16][C:13]3([O:15][CH2:14]3)[CH2:12][CH2:11]2)=[O:9])=[CH:4][CH:3]=1.[NH3:18]>CO>[NH2:18][CH2:14][C:13]1([OH:15])[CH2:16][CH2:17][N:10]([C:8]([C:5]2[CH:6]=[CH:7][C:2]([F:1])=[CH:3][CH:4]=2)=[O:9])[CH2:11][CH2:12]1	1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[NH2:1][N:2]1[C:6]([C:7]([O:9]C)=[O:8])=[CH:5][N:4]=[C:3]1[C:11]1[CH:16]=[CH:15][C:14]([F:17])=[CH:13][CH:12]=1>O1CCCC1.[Li+].[OH-].Cl.O>[NH2:1][N:2]1[C:6]([C:7]([OH:9])=[O:8])=[CH:5][N:4]=[C:3]1[C:11]1[CH:16]=[CH:15][C:14]([F:17])=[CH:13][CH:12]=1 |f:2.3|	1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]2[NH:9][C:10]([C:13]([O:15][CH3:16])=[O:14])=[CH:11][N:12]=2)=[CH:4][CH:3]=1.C[N:24](C=O)C>NOP(=O)(C1C=CC=CC=1)C1C=CC=CC=1.[K+].CC(C)([O-])C.O>[NH2:24][N:9]1[C:10]([C:13]([O:15][CH3:16])=[O:14])=[CH:11][N:12]=[C:8]1[C:5]1[CH:4]=[CH:3][C:2]([F:1])=[CH:7][CH:6]=1 |f:3.4|	1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]2[NH:9][C:10]([C:13]([OH:15])=[O:14])=[CH:11][N:12]=2)=[CH:4][CH:3]=1.[CH3:20]O>S(Cl)(Cl)=O>[F:1][C:2]1[CH:3]=[CH:4][C:5]([C:8]2[NH:9][C:10]([C:13]([O:15][CH3:20])=[O:14])=[CH:11][N:12]=2)=[CH:6][CH:7]=1	1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]2[NH:9][C:10]([C:13](F)(F)F)=[CH:11][N:12]=2)=[CH:4][CH:3]=1.[Na+].[OH-:17].[OH2:19]>>[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]2[NH:9][C:10]([C:13]([OH:19])=[O:17])=[CH:11][N:12]=2)=[CH:4][CH:3]=1 |f:1.2|	1
YWPHDFINYPQZQN-UHFFFAOYSA-N	[NH2:50][CH2:51][C:52]1([OH:67])[CH2:57][CH2:56][N:55]([C:58]([C:60]2[CH:65]=[CH:64][C:63]([F:66])=[CH:62][CH:61]=2)=[O:59])[CH2:54][CH2:53]1.[NH2:1][N:2]1[C:6]([C:7]([OH:9])=O)=[CH:5][N:4]=[C:3]1[C:10]1[CH:15]=[CH:14][C:13]([F:16])=[CH:12][CH:11]=1>CN(C(ON1N=NC2C=CC=NC1=2)=[N+](C)C)C.F[P-](F)(F)(F)(F)F.CCN(C(C)C)C(C)C.CN(C=O)C.O>[NH2:1][N:2]1[C:6]([C:7]([NH:50][CH2:51][C:52]2([OH:67])[CH2:57][CH2:56][N:55]([C:58](=[O:59])[C:60]3[CH:65]=[CH:64][C:63]([F:66])=[CH:62][CH:61]=3)[CH2:54][CH2:53]2)=[O:9])=[CH:5][N:4]=[C:3]1[C:10]1[CH:15]=[CH:14][C:13]([F:16])=[CH:12][CH:11]=1 |f:2.3|	2
