tm	route_find_time_sec	synth_graph_assembly_time_sec
DUCJUKZQSRPECI-UHFFFAOYSA-N	0.028570175170898438	0.21056032180786133
UZCLUOWLQYOFSZ-UHFFFAOYSA-N	0.0011420249938964844	0.01072835922241211
WTCXKDSZUHYCLH-UHFFFAOYSA-N	0.003860950469970703	0.020448684692382812
FMXLKQYOBUDPPG-UHFFFAOYSA-N	0.0015940666198730469	0.020462751388549805
FOROUCWBDGYYOS-NSHDSACASA-N	0.004233837127685547	0.07289767265319824
IWJOUZQQKDORMF-UHFFFAOYSA-N	0.002306699752807617	0.03955793380737305
MGGGSJRWNQFCLE-UHFFFAOYSA-N	0.0010700225830078125	0.0023081302642822266
IXZILUICVMZFAS-UHFFFAOYSA-N	0.08608198165893555	3.154893159866333
GZYNUOMXGGSXMI-UHFFFAOYSA-N	0.008283138275146484	0.1263110637664795
WEEVXEKXCIBZMB-UHFFFAOYSA-N	0.004509925842285156	0.05983734130859375
FWLFRXVPNVBXGR-CQSZACIVSA-N	0.001397848129272461	0.008691787719726562
MRPFJQLRQGTKNI-UHFFFAOYSA-N	0.0007312297821044922	0.0022308826446533203
SFULKMBKBMTSQR-UHFFFAOYSA-N	0.0010030269622802734	0.005146503448486328
QIPKALDGXQQVOS-UHFFFAOYSA-N	0.0008890628814697266	0.004137277603149414
FOJARJYVBAAZST-BTYIYWSLSA-N	0.0015859603881835938	0.021190404891967773
GCNGMJUUAPJOKS-YUMQZZPRSA-N	0.0008971691131591797	0.003900766372680664
NKQYHZABKBYUMX-UHFFFAOYSA-N	0.0008337497711181641	0.005590677261352539
VLYBAPCPKDLKOF-UHFFFAOYSA-N	0.0006520748138427734	0.002700328826904297
KJDKPNUDCPAPKM-UHFFFAOYSA-N	0.03685784339904785	3.2456226348876953
XOUDYBSHCAXSRW-UHFFFAOYSA-N	0.0019228458404541016	0.03630995750427246
HDQNXIOVYVAKBX-UHFFFAOYSA-N	0.0007181167602539062	0.003588438034057617
KXOQTTUQMDLZDM-SANMLTNESA-N	0.0007390975952148438	0.0017981529235839844
SEHLMRJSQFAPCJ-HNNXBMFYSA-N	0.0007297992706298828	0.002295970916748047
IKEBMEDSZADMKE-UHFFFAOYSA-N	0.0017161369323730469	0.0567011833190918
VTJXLVGZNOINAD-UHFFFAOYSA-N	0.0017311573028564453	0.09485483169555664
BVKGNQRDVFGNIW-UHFFFAOYSA-N	0.006923198699951172	0.0669240951538086
LAHWVDUZLRNQDG-UHFFFAOYSA-N	0.0016961097717285156	0.021191835403442383
OTNJGCAOEGZZMM-UHFFFAOYSA-N	0.001215219497680664	0.0052204132080078125
DZOZUWJSHMBZNX-UHFFFAOYSA-N	0.005309104919433594	0.937910795211792
